rank,stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,reject_reason,early_reject_reason
50,3167,大量,633.0,0.22,9.9,70.43,6.57,81.8,1,146.8,93317.0,-1000.0,412967.0,-1000.0,False,False,0.0,0.0,0.0,量比0.22；乖離70.4%,量比0.22；漲幅9.9%；乖離70.4%
51,5243,乙盛-KY,119.0,1.48,4.85,48.3,19.32,85.0,3,-3.2,4161200.0,0.0,5326357.0,0.0,False,False,0.0,0.0,0.0,乖離48.3%,乖離48.3%
52,4989,榮科,80.7,1.63,9.95,17.79,38.71,68.6,0,54.0,-1837061.0,0.0,12955820.0,0.0,False,False,0.0,0.0,0.0,未通過,漲幅9.9%
53,4949,有成精密,84.7,1.41,10.0,35.09,5.73,73.4,0,42.2,-51620.0,0.0,1453964.0,0.0,False,False,0.0,0.0,0.0,乖離35.1%,漲幅10.0%；乖離35.1%
54,5234,達興材料,396.5,0.77,-1.12,5.17,3.92,57.4,0,5.5,-172674.0,-2138.0,509525.0,-103331.0,False,False,0.0,0.0,0.0,量比0.77,量比0.77
55,4956,光鋐,35.8,0.6,-1.92,15.11,2.82,62.6,0,12.6,-771111.0,0.0,-2613111.0,0.0,False,False,0.0,0.0,0.0,量比0.60,量比0.60
56,5269,祥碩,1110.0,0.98,2.3,-5.83,9.7,43.3,0,39.9,-109626.0,-5146.0,4897.0,-12317.0,False,False,0.0,0.0,0.0,量比0.98,量比0.98
57,3443,創意,2665.0,1.05,0.38,10.1,67.18,59.0,2,33.5,-182941.0,57830.0,287375.0,10349.0,False,False,0.0,0.0,0.0,量比1.05,量比1.05
58,3481,群創,26.0,1.08,-3.53,-2.13,102.39,51.7,0,33.1,-92927159.0,-103868.0,24601607.0,-1683395.0,False,False,0.0,0.0,0.0,量比1.08,量比1.08；漲幅-3.5%
59,3380,明泰,39.1,0.73,-5.33,8.44,4.66,58.0,0,50.5,-1782178.0,0.0,-959081.0,1000.0,False,False,0.0,0.0,0.0,量比0.73,量比0.73；漲幅-5.3%
60,3532,台勝科,165.5,1.91,9.97,22.97,9.17,66.6,4,15.8,808490.0,516000.0,-342220.0,1043000.0,False,False,0.0,0.0,0.0,未通過,漲幅10.0%
61,3533,嘉澤,2270.0,0.82,-1.73,18.25,26.96,63.7,8,23.4,94963.0,-2000.0,471002.0,182504.0,False,False,0.0,0.0,0.0,量比0.82,量比0.82
